title,content,tokens
Page 12,Table of Contents xi 6 Reactive State Management with NgRx Technical requirements 204 Creating your first NgRx store with actions and reducer 204 Getting ready 204 How to do it… 205 See also 210 Using @ngrx/store-devtools to debug the state changes 210 Getting ready 211 How to do it… 211 How it works… 214 There's more… 215 See also 216 Creating an effect to fetch third-party API data 216 Getting ready 216 How to do it… 217 How it works… 224 See also 224 Using selectors to fetch data from stores in multiple components 224 Getting ready 225 How to do it… 225 How it works… 231 See also 232 Using @ngrx/component-store for local state management within a component 232 Getting ready 232 How to do it… 233 How it works… 238 See also 238 Using @ngrx/router-store to work with route changes reactively 238 Getting ready 238 How to do it… 239 How it works… 245 See also 245 7 Understanding Angular Navigation and Routing Technical requirements 248 Creating an Angular app with routes using the CLI 248 Getting ready 248 How to do it… 248 How it works… 254 See also 255Feature modules and lazily loaded routes 256 Getting ready 256 How to do it… 257 How it works… 262 See also 262 Authorized access to routes using route guards 262,278
Page 13,xii Table of Contents Getting ready 262 How to do it… 263 How it works… 268 See also 268 Working with route parameters 268 Getting ready 268 How to do it… 269 How it works… 274 See also 274 Showing a global loader between route changes 274 Getting ready 275 How to do it… 275 How it works… 279 See also 279 Preloading route strategies 280 Getting ready 280 How to do it… 281 How it works… 287 See also 287 8 Mastering Angular Forms Technical requirements 290 Creating your first template- driven Angular form 290 Getting ready 290 How to do it… 291 How it works… 297 See also 297 Form validation with template- driven forms 297 Getting ready 298 How to do it… 299 How it works… 304 See also 304 Testing template-driven forms 304 Getting ready 304 How to do it… 305 How it works… 313 See also 313 Creating your first Reactive form 314Getting ready 314 How to do it… 315 How it works… 319 See also 319 Form validation with Reactive forms 319 Getting ready 320 How to do it… 321 How it works… 325 See also 325 Creating an asynchronous validator function 325 Getting ready 326 How it works… 334 See also 335 Testing Reactive forms 335 Getting ready 335 How to do it… 336 How it works… 340 See also 340,266
Page 14,Table of Contents xiii Using debounce with Reactive form control 340 Getting ready 341 How to do it… 342 How it works… 346 See also 347Writing your own custom form control using ControlValueAccessor 347 Getting ready 347 How to do it… 348 How it works… 356 See also 358 9 Angular and the Angular CDK Technical requirements 360 Using Virtual Scroll for huge lists 360 Getting ready 360 How to do it… 362 How it works… 364 See also 365 Keyboard navigation for lists 366 Getting ready 366 How to do it… 367 How it works… 373 See also 373 Pointy little popovers with the Overlay API 374 Getting ready 374 How to do it… 375 How it works… 385 See also 389 Using CDK Clipboard to work with the system clipboard 389 Getting ready 389 How to do it… 390 How it works… 394See also 394 Using CDK Drag and Drop to move items from one list to another 395 Getting ready 395 How to do it… 396 How it works… 404 See also 405 Creating a multi-step game with the CDK Stepper API 405 Getting ready 406 How to do it… 407 How it works… 419 See also 420 Resizing text inputs with the CDK TextField API 420 Getting ready 420 How to do it… 421 How it works… 425 See also 425,272
Page 15,xiv Table of Contents 10 Writing Unit Tests in Angular with Jest Technical requirements 428 Setting up unit tests in Angular with Jest 428 Getting ready 428 How to do it... 430 See also 433 Providing global mocks for Jest 434 Getting ready 434 How to do it... 435 How it works... 439 See also 440 Mocking services using stubs 440 Getting ready 441 How to do it... 442 How it works... 444 See also 446 Using spies on an injected service in a unit test 446 Getting ready 446 How to do it... 447 How it works... 450 See also 450Mocking child components and directives using the ng-mocks package 450 Getting ready 450 How to do it... 451 How it works... 457 See also 458 Creating even easier component tests with Angular CDK component harnesses 458 Getting ready 458 How to do it... 459 How it works... 465 See also 466 Unit testing components with Observables 467 Getting ready 467 How to do it... 468 How it works... 477 See also 478 Unit testing Angular Pipes 479 Getting ready 479 How to do it... 480 See also 482 11 E2E Tests in Angular with Cypress Technical requirements 484 Writing your first Cypress test 484 Getting ready 484 How to do it… 484 How it works… 488 See also 488Validating if a DOM element is visible on the view 488 Getting ready 489 How to do it… 490 How it works… 493,315
Page 16,Table of Contents xv See also 494 Testing form inputs and submission 494 Getting ready 494 How to do it… 495 How it works… 499 See also 501 Waiting for XHRs to finish 501 Getting ready 501 How to do it… 503 How it works… 506 See also 507Using Cypress bundled packages 507 Getting ready 507 How to do it… 508 How it works… 515 See also 515 Using Cypress fixtures to provide mock data 516 Getting ready 516 How to do it… 517 How it works… 521 See also 522 12 Performance Optimizations in Angular Technical requirements 524 Using OnPush change detection to prune component subtrees 524 Getting ready 524 How to do it… 525 How it works… 529 See also 530 Detaching the change detector from components 530 Getting ready 531 How to do it… 532 How it works… 535 See also 535 Running async events outside Angular with runOutsideAngular 536 Getting ready 536 How to do it… 537 How it works… 544 See also 545Using trackBy for lists with *ngFor 545 Getting ready 545 How to do it… 546 How it works… 549 See also 550 Moving heavy computation to pure pipes 550 Getting ready 551 How to do it… 552 How it works… 554 See also 555 Using web workers for heavy computation 555 Getting ready 555 How to do it… 556 How it works… 560 See also 561 Using performance budgets for auditing 561,320
Page 17,xvi Table of Contents Getting ready 562 How to do it… 563 See also 566 Analyzing bundles with webpack-bundle-analyzer 566 Getting ready 566 How to do it… 567 See also 571 13 Building PWAs with Angular Technical requirements 574 Converting an existing Angular app into a PWA with the Angular CLI 574 Getting ready 574 How to do it 575 How it works 580 See also 582 Modifying the theme color for your PWA 582 Getting ready 582 How to do it 583 See also 586 Using Dark Mode in your PWA 586 Getting ready 586 How to do it 588 See also 592 Providing a custom installable experience in your PWA 592 Getting ready 593 How to do it 593 How it works 599 See also 600 Precaching requests using an Angular service worker 600 Getting ready 601 How to do it 602 How it works 604 See also 605 Creating an App Shell for your PWA 605 Getting ready 605 How to do it 607 How it works 612 See also 613 Why subscribe? 615 Other Books You May Enjoy Index,243
Page 18,"Preface Angular is one of the most popular frameworks in the world for building not only web applications but even mobile and desktop applications as well. Backed by Google and used by Google, this framework is used by millions of applications. Although the framework is well suited for any scale of application, enterprises especially like Angular because of it being opinionated and because of its consistent ecosystem that includes all the tools you need to create a web technologies-based application. While learning the core technologies such as JavaScript, HTML, and CSS is an absolute essential to progress as a web developer, when it comes to a framework, learning the core concepts of the framework itself is pretty important too. When we're dealing with Angular, there are a lot of amazing things we can do with our web applications by learning about, and using, the right tools in the Angular ecosystem. That's where this book comes in. This book was written for intermediate and advanced Angular developers to polish their Angular development skills with recipes that you can follow easily, play around with, and practice your own variations of. Y ou'll not only learn from the recipes themselves but also from the actual real-life projects associated with the recipes. So, there are a lot of hidden gems in these recipes and projects for you. Happy coding! Who this book is for The book is for intermediate-level Angular web developers looking for actionable solutions to common problems in Angular enterprise development. Mobile developers using Angular technologies will also find this book useful. Working experience with JavaScript and TypeScript is necessary to understand the topics covered in this book more effectively.",322
Page 19,"xviii Preface What this book covers Chapter 1, Winning Components Communication , explains different techniques to use to implement communication between components in Angular. @Input() and @ Output() decorators, services, and lifecycle hooks are covered as well. There is also a recipe for how to create a dynamic Angular component. Chapter 2, Understanding and Using Angular Directives , gives an introduction to Angular directives and some recipes that use Angular directives, including attribute directives and structural directives. Chapter 3, The Magic of Dependency Injection in Angular, includes recipes that cover optional dependencies, configuring an injection token, using the providedIn: 'root' metadata for Angular services, value providers, and aliased class providers. Chapter 4, Understanding Angular Animations , contains recipes for implementing multi- state animations, staggering animations, keyframe animations, and animations for switching between routes in your Angular apps. Chapter 5, Angular and RxJS – Awesomeness Combined, covers recipes on RxJS instance and static methods. It also has some recipes on the usage of the combineLatest , flatMap , and switchMap operators and covers some tips and tricks about using RxJS streams. Chapter 6, Reactive State Management with NgRx, has recipes concerning the famous NgRX library and its core concepts. It covers core concepts such as NgRx actions, reducers, selectors, and effects and looks at using packages such as @ngrx/store- devtools and @component/store . Chapter 7, Understanding Angular Navigation and Routing , explores recipes on lazily loaded routes, route guards, preloading route strategies, and some interesting techniques to be used with the Angular router. Chapter 8, Mastering Angular Forms, covers recipes for template-driven forms, reactive forms, form validation, testing forms, and creating your own form control. Chapter 9, Angular and the Angular CDK, has a lot of cool Angular CDK recipes, including ones on virtual scroll, keyboard navigation, the overlay API, the clipboard API, CDK drag and drop, the CDK stepper API, and the CDK textfield API. Chapter 10, Writing Unit Tests in Angular with Jest, covers recipes for unit testing with Jest, exploring global mocks in Jest, mocking services/child components/pipes, using Angular CDK component harnesses, and unit testing Observables.",484
Page 20,"Preface xix Chapter 11, E2E Tests in Angular with Cypress, has recipes on E2E testing with Cypress in Angular apps. It covers validating forms, waiting for XHR calls, mocking HTTP call responses, using bundled packages with Cypress, and using fixtures in Cypress. Chapter 12, Performance Optimizations in Angular, contains some cool techniques to improve an Angular app's performance by using the OnPush change detection strategy, lazily loading feature routes, detaching the change detector from a component, using web workers with Angular, using pure pipes, adding performance budgets to an Angular app, and using the webpack-bundle analyzer. Chapter 13, Building PWAs with Angular , contains recipes to create a PW A with Angular. It covers specifying a theme color for the PW A, using a device's dark mode, providing a custom PW A install prompt, precaching requests using Angular's service worker, and using App Shell. To get the most out of this book The recipes of this book are built with Angular v12 and Angular follows semantic versioning for their releases. Since Angular is constantly being improved, for the sake of stability, the Angular team has provided a predictable release cycle for updates. The release frequency is as follows: • A major release every 6 months. • 1 to 3 minor releases for each major release. • A patch release and pre-release (next or rc) build almost every week. Source: https://angular.io/guide/releases#release-frequency If you are using the digital version of this book, we advise you to type the code yourself or access the code from the book's GitHub repository (a link is available in the next section). Doing so will help you avoid any potential errors related to the copying and pasting of code.",370
Page 21,"xx Preface Once you've finished reading the book, make sure to tweet to https://ahsanayaz. com/twitter to let me know your feedback about the book. In addition, you can modify the code provided with this book to your taste, upload it to your GitHub repository, and share it. I'll make sure to retweet it :) Download the example code files Y ou can download the example code files for this book from GitHub at https://github.com/PacktPublishing/Angular-Cookbook . If there's an update to the code, it will be updated in the GitHub repository. We also have other code bundles from our rich catalog of books and videos available at https://github.com/PacktPublishing/ . Check them out! Download the color images We also provide a PDF file that has color images of the screenshots and diagrams used in this book. Y ou can download it here: https://static.packt-cdn.com/ downloads/9781838989439_ColorImages.pdf . Conventions used There are a number of text conventions used throughout this book. Code in text : Indicates code words in text, database table names, folder names, filenames, file extensions, pathnames, dummy URLs, user input, and Twitter handles. Here is an example: ""Now, we'll move the code from the the-amazing-list- component.html file to the the-amazing-list-item.component.html file for the item's markup."" A block of code is set as follows: openMenu($event, itemTrigger) { if ($event) { $event.stopImmediatePropagation(); } this.popoverMenuTrigger = itemTrigger; this.menuShown = true; }",372
Page 22,"Preface xxi When we wish to draw your attention to a particular part of a code block, the relevant lines or items are set in bold: .menu-popover { ... &::before {...} &--up { transform: translateY(-20px); &::before { top: unset !important; transform: rotate(180deg); bottom: -10px; } } &__list {...} } Bold : Indicates a new term, an important word, or words that you see onscreen. For instance, words in menus or dialog boxes appear in bold . Here is an example: ""Y ou will notice that we can't see the entirety of the content of the input—this is somewhat annoying at the best of times because you can't really review it before pressing the Action button."" Tips or important notes Appear like this. Get in touch Feedback from our readers is always welcome. General feedback: If you have questions about any aspect of this book, email us at customercare@packtpub.com and mention the book title in the subject of your message.",230
Page 23,"Errata: Although we have taken every care to ensure the accuracy of our content, mistakes do happen. If you have found a mistake in this book, we would be grateful if you would report this to us. Please visit www.packtpub.com/support/errata and fill in the form. Piracy: If you come across any illegal copies of our works in any form on the internet, we would be grateful if you would provide us with the location address or website name. Please contact us at copyright@packt.com with a link to the material. If you are interested in becoming an author: If there is a topic that you have expertise in and you are interested in either writing or contributing to a book, please visit authors.packtpub.com . Share Your Thoughts Once you've read Angular Cookbook , we'd love to hear your thoughts! Please click here to go straight to the Amazon review page https://packt.link/r/1838989439 for this book and share your feedback. Y our review is important to us and the tech community and will help us make sure we're delivering excellent quality content.",240
Page 24,"1 Winning Components Communication In this chapter, you'll master component communication in Angular. Y ou'll learn different techniques to establish communication between components and will learn which technique is suitable in which situation. Y ou'll also learn how to create a dynamic Angular component in this chapter. The following are the recipes we're going to cover in this chapter: • Components communication using component @Input(s) and @Output(s) • Components communication using services • Using setters for intercepting input property changes • Using ngOnChanges to intercept input property changes • Accessing a child component in a parent template via template variables • Accessing a child component in a parent component class using ViewChild • Creating your first dynamic component in Angular",150
Page 25,"2 Winning Components Communication Technical requirements For the recipes in this chapter, make sure you have Git and Node.js installed on your machine. Y ou also need to have the @angular/cli package installed, which you can do with npm install -g @angular/cli from your terminal. The code for this chapter can be found at https://github.com/PacktPublishing/Angular- Cookbook/tree/master/chapter01 . Components communication using component @Input(s) and @Output(s) Y ou'll start with an app with a parent component and two child components. Y ou'll then use Angular @Input and @Ouput decorators to establish communication between them using attributes and EventEmitter (s). Getting ready The project that we are going to work with resides in chapter01/start_here/ cc-inputs-outputs inside the cloned repository: 1. Open the project in Visual Studio Code. 2. Open the terminal and run npm install to install the dependencies of the project. Once done, run ng serve -o . This should open the app in a new browser tab and you should see the following: Figure 1.1 – The cc-inputs-outputs app running on http://localhost:4200",266
Page 26,"Components communication using component @Input(s) and @Output(s) 3 How to do it… So far, we have an app with AppComponent , NotificationsButtonComponent , and NotificationsManagerComponent . While AppComponent is the parent of the other two components mentioned, there is absolutely no component communication between them to sync the notification count value. Let's establish the appropriate communication between them using the following steps: 1. We'll move the notificationsCount variable from NotificationsManagerComponent and host it in AppComponent . To do so, just create a notificationsCount property in app.component.ts : export class AppComponent { notificationsCount = 0; } 2. Next, convert the notificationsCount property in notifications- manager.component.ts to @Input() , rename it to count , and replace its usages as follows: import { Component, OnInit, Input } from '@angular/core'; @Component({ selector: 'app-notifications-manager', templateUrl: './notifications-manager.component.html', styleUrls: ['./notifications-manager.component.scss'] }) export class NotificationsManagerComponent implements OnInit { @Input() count = 0 constructor() { } ngOnInit(): void { } addNotification() { this.count++; } removeNotification() { if (this.count == 0) { return; } this.count--;",293
Page 27,"4 Winning Components Communication } resetCount() { this.count = 0; } } 3. Update notifications-manager.component.html to use count instead of notificationsCount : <div class=""notif-manager""> <div class=""notif-manager__count""> Notifications Count: {{count}} </div> ... </div> 4. Next, pass the notificationsCount property from app.component.html to the <app-notifications-manager> element as an input: <div class=""content"" role=""main""> <app-notifications-manager [count]=""notificationsCount""> </app-notifications-manager> </div> Y ou could now test whether the value is being correctly passed from app. component.html to app-notifications-manager by assigning the value of notificationsCount in app.component.ts as 10. Y ou'll see that in NotificationsManagerComponent , the initial value shown will be 10: export class AppComponent { notificationsCount = 10; } 5. Now, create an @Input() in notifications-button.component. ts named count as well: import { Component, OnInit, Input } from '@angular/core'; ... export class NotificationsButtonComponent implements OnInit {",261
Page 28,"Components communication using component @Input(s) and @Output(s) 5 @Input() count = 0; ... } 6. Pass notificationsCount to <app-notifications-button> as well from app.component.html : <!-- Toolbar --> <div class=""toolbar"" role=""banner""> ... <span>@Component Inputs and Outputs</span> <div class=""spacer""></div> <div class=""notif-bell""> <app-notifications-button [count]=""notificationsCount""> </app-notifications-button> </div> </div> ... 7. Use the count input in notifications-button.component.html with the notification bell icon: <div class=""bell""> <i class=""material-icons"">notifications</i> <div class=""bell__count""> <div class=""bell__count__digits""> {{count}} </div> </div> </div> Y ou should now see the value 10 for the notification bell icon count as well. Right now, if you change the count by adding/removing notifications from NotificationsManagerComponent , the count on the notification bell icon won't change.",250
Page 29,"6 Winning Components Communication 8. To communicate the change from NotificationsManagerComponent to NotificationsButtonComponent , we'll use Angular @Output (s) now. Use @Ouput and @EventEmitter from '@angular/core' inside notifications-manager.component.ts : import { Component, OnInit, Input, Output, EventEmitter } from '@angular/core'; ... export class NotificationsManagerComponent implements OnInit { @Input() count = 0 @Output() countChanged = new EventEmitter<number>(); ... addNotification() { this.count++; this.countChanged.emit(this.count); } removeNotification() { ... this.count--; this.countChanged.emit(this.count); } resetCount() { this.count = 0; this.countChanged.emit(this.count); } } 9. Then, we'll listen in app.component.html for the previously emitted event from NotificationsManagerComponent and update the notificationsCount property accordingly: <div class=""content"" role=""main""> <app-notifications-manager (countChanged)=""updateNotificationsCount($event) "" [count]=""notificationsCount""></app-notifications- manager> </div>",265
Page 30,"Components communication using component @Input(s) and @Output(s) 7 10. Since we've listened to the countChanged event previously and called the updateNotificationsCount method, we need to create this method in app.component.ts and update the value of the notificationsCount property accordingly: export class AppComponent { notificationsCount = 10; updateNotificationsCount(count: number) { this.notificationsCount = count; } } How it works… In order to communicate between components using @Input (s) and @Output (s), the data flow will always go from the child components to the parent component, which can provide the new (updated) value as input back to the required child components. So, NotificationsManagerComponent emits the countChanged event. AppComponent (being the parent component) listens for the event and updates the value of notificationsCount , which automatically updates the count property in NotificationsButtonComponent because notificationsCount is being passed as the @Input() count to NotificationsButtonComponent . Figure 1.2 shows the entire process: Figure 1.2 – How component communication works with inputs and outputs",233
Page 31,"8 Winning Components Communication See also • How do Angular components communicate? https://www. thirdrocktechkno.com/blog/how-angular-components- communicate • Component Communication in Angular by Dhananjay Kumar: https://www.youtube.com/watch?v=I8Z8g9APaDY Components communication using services In this recipe, you'll start with an app with a parent component and a child component. Y ou'll then use an Angular service to establish communication between them. We're going to use BehaviorSubject and Observable streams to communicate between components and the service. Getting ready The project for this recipe resides in chapter01/start_here/cc-services : 1. Open the project in Visual Studio Code. 2. Open the terminal and run npm install to install the dependencies of the project. 3. Once done, run ng serve -o . This should open the app in a new browser tab and you should see the app as follows: Figure 1.3 – The cc-services app running on http://localhost:4200",225
Page 32,"Components communication using services 9 How to do it… Similar to the previous recipe, we have an app with AppComponent , NotificationsButtonComponent , and NotificationsManagerComponent . AppComponent is the parent of the other two components mentioned previously, and we need to establish the appropriate communication between them using the following steps: 1. Create a new folder inside the chapter01/start_here/cc-services/src/ app project named services . This is where our new service will reside. 2. From the terminal, navigate into the project, that is, inside chapter01/start_ here/cc-services , and create a new service called NotificationService , as follows: ng g service services/Notifications 3. Create a BehaviorSubject named count inside notifications.service. ts and initialize it with 0, as a BehaviorSubject requires an initial value: import { Injectable } from '@angular/core'; import { BehaviorSubject } from 'rxjs'; @Injectable({ providedIn: 'root' }) export class NotificationsService { private count: BehaviorSubject<number> = new BehaviorSubject<number>(0); constructor() { } } Notice that the BehaviorSubject is a private property and we'll only update it from within the service using a public method later on. 4. Now, create an Observable named count$ using the .asObservable() method on the count BehaviorSubject : import { Injectable } from '@angular/core'; import { BehaviorSubject, Observable } from 'rxjs'; ... export class NotificationsService { private count: BehaviorSubject<number> = new BehaviorSubject<number>(0); count$: Observable<number> = this.count.asObservable();",360
Page 33,"10 Winning Components Communication ... } 5. Convert the notificationsCount property in notifications-manager. component.ts to an Observable named notificationsCount$ . Inject NotificationsService in the component and assign the service's count$ Observable to the component's notificationsCount$ variable: import { Component, OnInit } from '@angular/core'; import { Observable } from 'rxjs'; import { NotificationsService } from '../services/ notifications.service'; ... export class NotificationsManagerComponent implements OnInit { notificationsCount$: Observable<number>; constructor(private notificationsService: NotificationsService) { } ngOnInit(): void { this.notificationsCount$ = this.notificationsService. count$; } ... } 6. Comment out the code that updates the notification count for now; we'll come back to it later: ... export class NotificationsManagerComponent implements OnInit { ... addNotification() { // this.notificationsCount++; } removeNotification() { // if (this.notificationsCount == 0) { // return;",224
Page 34,"Components communication using services 11 // } // this.notificationsCount--; } resetCount() { // this.notificationsCount = 0; } } 7. Use the notificationsCount$ Observable in notifications-manager. component.html with the async pipe to show its value: <div class=""notif-manager""> <div class=""notif-manager__count""> Notifications Count: {{notificationsCount$ | async}} </div> ... </div> 8. Now, similarly inject NotificationsService in notifications-button. component.ts , create an Observable named notificationsCount$ inside NotificationsButtonComponent , and assign the service's count$ Observable to it: import { Component, OnInit } from '@angular/core'; import { NotificationsService } from '../services/ notifications.service'; import { Observable } from 'rxjs'; ... export class NotificationsButtonComponent implements OnInit { notificationsCount$: Observable<number>; constructor(private notificationsService: NotificationsService) { } ngOnInit(): void { this.notificationsCount$ = this.notificationsService. count$; } }",241
Page 35,"12 Winning Components Communication 9. Use the notificationsCount$ Observable in notifications-button. component.html with the async pipe: <div class=""bell""> <i class=""material-icons"">notifications</i> <div class=""bell__count""> <div class=""bell__count__digits""> {{notificationsCount$ | async}} </div> </div> </div> If you refresh the app now, you should be able to see the value 0 for both the notifications manager component and the notifications button component. 10. Change the initial value for the count BehaviorSubject to 10 and see whether that reflects in both components: ... export class NotificationsService { private count: BehaviorSubject<number> = new BehaviorSubject<number>(10); ... } 11. Now, create a method named setCount in notifications.service.ts so we are able to update the value of the count BehaviorSubject : ... export class NotificationsService { … constructor() {} setCount(countVal) { this.count.next(countVal); } }",220
